x,y,z
-0.04505190311418685,0.3,0.051
-0.04505190311418685,0.2996984924623115,0.051
-0.04505190311418685,0.29939698492462313,0.051
-0.04505190311418685,0.29909547738693465,0.051
-0.04505190311418685,0.2987939698492462,0.051
-0.044636678200692045,0.2984924623115578,0.051
-0.044636678200692045,0.2981909547738693,0.051
-0.044636678200692045,0.29788944723618094,0.051
-0.044636678200692045,0.29758793969849245,0.051
-0.044636678200692045,0.29728643216080397,0.051
-0.044636678200692045,0.29698492462311554,0.051
-0.04422145328719722,0.2966834170854271,0.051
-0.04422145328719722,0.2963819095477387,0.051
-0.04422145328719722,0.29608040201005026,0.051
-0.04422145328719722,0.2957788944723618,0.051
-0.04380622837370242,0.2954773869346734,0.051
-0.04380622837370242,0.2951758793969849,0.051
-0.04380622837370242,0.2948743718592965,0.051
-0.04380622837370242,0.294572864321608,0.051
-0.04380622837370242,0.2942713567839196,0.051
-0.04380622837370242,0.29396984924623115,0.051
-0.04422145328719722,0.2936683417085427,0.051
-0.044636678200692045,0.2936683417085427,0.051
-0.04505190311418685,0.2936683417085427,0.051
-0.04546712802768166,0.2936683417085427,0.051
-0.045882352941176464,0.2936683417085427,0.051
-0.04629757785467127,0.29396984924623115,0.051
-0.0467128027681661,0.29396984924623115,0.051
-0.0471280276816609,0.29396984924623115,0.051
-0.04754325259515571,0.29396984924623115,0.051
-0.04795847750865051,0.29396984924623115,0.051
-0.048373702422145316,0.29396984924623115,0.051
-0.04878892733564014,0.29396984924623115,0.051
-0.04920415224913495,0.29396984924623115,0.051
-0.049619377162629756,0.29396984924623115,0.051
-0.05003460207612456,0.29396984924623115,0.051
-0.05044982698961936,0.2936683417085427,0.051
-0.05086505190311419,0.2936683417085427,0.051
-0.051280276816608995,0.2933668341708543,0.051
-0.0516955017301038,0.2930653266331658,0.051
-0.05211072664359861,0.2927638190954774,0.051
-0.052525951557093414,0.29246231155778896,0.051
-0.052525951557093414,0.2921608040201005,0.051
-0.05294117647058824,0.29185929648241205,0.051
-0.05335640138408305,0.2915577889447236,0.051
-0.05335640138408305,0.2912562814070352,0.051
-0.05335640138408305,0.29095477386934676,0.051
-0.053771626297577854,0.2906532663316583,0.051
-0.053771626297577854,0.29035175879396985,0.051
-0.054186851211072654,0.2900502512562814,0.051
-0.054186851211072654,0.28974874371859294,0.051
-0.054186851211072654,0.2894472361809045,0.051
-0.05460207612456747,0.2891457286432161,0.051
-0.05460207612456747,0.28884422110552765,0.051
-0.05460207612456747,0.2885427135678392,0.051
-0.05460207612456747,0.28824120603015074,0.051
-0.05501730103806229,0.2879396984924623,0.051
-0.05501730103806229,0.28763819095477383,0.051
-0.05501730103806229,0.28733668341708546,0.051
-0.05501730103806229,0.287035175879397,0.051
-0.05543252595155709,0.28673366834170855,0.051
-0.05543252595155709,0.2864321608040201,0.051
-0.05543252595155709,0.28613065326633164,0.051
-0.05543252595155709,0.28582914572864326,0.051
-0.05543252595155709,0.2855276381909548,0.051
-0.0558477508650519,0.2852261306532663,0.051
-0.0558477508650519,0.2849246231155779,0.051
-0.0558477508650519,0.28462311557788944,0.051
-0.0558477508650519,0.284321608040201,0.051
-0.0558477508650519,0.2840201005025126,0.051
-0.056262975778546706,0.2837185929648241,0.051
-0.056262975778546706,0.28341708542713573,0.051
-0.056262975778546706,0.28311557788944725,0.051
-0.056262975778546706,0.2828140703517588,0.051
-0.056262975778546706,0.2825125628140704,0.051
-0.05667820069204151,0.2822110552763819,0.051
-0.05667820069204151,0.2819095477386935,0.051
-0.05667820069204151,0.28160804020100505,0.051
-0.05667820069204151,0.2813065326633166,0.051
-0.05667820069204151,0.2810050251256282,0.051
-0.05667820069204151,0.2807035175879397,0.051
-0.05667820069204151,0.2804020100502513,0.051
-0.05709342560553634,0.2801005025125628,0.051
-0.05709342560553634,0.27979899497487437,0.051
-0.05709342560553634,0.27949748743718594,0.051
-0.05709342560553634,0.2791959798994975,0.051
-0.05709342560553634,0.2788944723618091,0.051
-0.057508650519031146,0.2785929648241206,0.051
-0.057508650519031146,0.2782914572864322,0.051
-0.057508650519031146,0.27798994974874375,0.051
